dateTime,sampleTimeSeconds,LPOPmMid,LPOPm10,ratioPmMid,ratioPm10,concentrationPmMid,concentrationPm2_5,concentrationPm10
2020-08-19 00:44:46.238244,30,10104120,13315684,33.68,44.39,55230.41,56552.00,111782.41
2020-08-19 00:45:16.275542,30,10184872,14693216,33.95,48.98,56316.93,89271.27,145588.20
2020-08-19 00:45:46.297585,30,11211856,14797128,37.37,49.32,71546.63,76853.59,148400.22
2020-08-19 00:46:16.319478,30,6787164,10661288,22.62,35.54,22557.82,40492.70,63050.52
2020-08-19 00:46:46.341333,30,9472012,13301944,31.57,44.34,47252.90,64223.64,111476.54
2020-08-19 00:47:16.378779,30,10828128,14144828,36.09,47.15,65542.48,65826.13,131368.61
2020-08-19 00:47:46.400708,30,10877128,14806176,36.26,49.35,66287.88,82358.96,148646.84
2020-08-19 00:48:16.422673,30,7766368,12148092,25.89,40.49,30000.20,57864.80,87865.00
2020-08-19 00:48:46.444356,30,8916860,12268608,29.72,40.90,40983.92,49161.07,90144.99
2020-08-19 00:49:16.481684,30,10341072,14393764,34.47,47.98,58463.16,79232.19,137695.34
2020-08-19 00:49:46.503694,30,11002736,14948028,36.68,49.83,68227.00,84324.94,152551.94
2020-08-19 00:50:16.525583,30,7559444,10504444,25.20,35.01,28290.28,32481.50,60771.77
2020-08-19 00:50:46.547434,30,9149076,13050816,30.50,43.50,43525.21,62466.55,105991.77
2020-08-19 00:51:16.584755,30,10173184,14303164,33.91,47.68,56158.71,79209.63,135368.33
2020-08-19 00:51:46.606720,30,10964324,14255176,36.55,47.52,67629.70,66517.45,134147.14
2020-08-19 00:52:16.628396,30,7452676,11225988,24.84,37.42,27437.66,44337.57,71775.23
2020-08-19 00:52:46.665567,30,8939952,12938664,29.80,43.13,41231.51,62374.13,103605.64
2020-08-19 00:53:16.687580,30,9953892,13327376,33.18,44.42,53250.46,58792.72,112043.18
2020-08-19 00:53:46.709418,30,9246848,12093412,30.82,40.31,44629.75,42214.62,86844.38
2020-08-19 00:54:16.731214,30,6530484,9503664,21.77,31.68,20866.04,26764.62,47630.67
2020-08-19 00:54:46.752988,30,8788208,13547072,29.29,45.16,39624.77,77398.33,117023.09
2020-08-19 00:55:16.790144,30,10481588,14463032,34.94,48.21,60444.82,79048.66,139493.48
2020-08-19 00:55:46.812215,30,11430436,14274812,38.10,47.58,75140.74,59505.04,134645.78
2020-08-19 00:56:16.833775,30,7727616,11069092,25.76,36.90,29674.12,39593.77,69267.90
2020-08-19 00:56:46.855628,30,9052008,12905640,30.17,43.02,42448.99,60461.48,102910.47
2020-08-19 00:57:16.892795,30,11002572,14183128,36.68,47.28,68224.35,64103.96,132328.31
2020-08-19 00:57:46.914679,30,7769876,11708172,25.90,39.03,30029.86,49864.74,79894.60
2020-08-19 00:58:16.936465,30,5502256,8023548,18.34,26.75,15046.18,17187.76,32233.93
2020-08-19 00:58:46.958289,30,8007272,10618692,26.69,35.40,32088.95,30336.57,62425.52
2020-08-19 00:59:16.980044,30,7445016,10473256,24.82,34.91,27377.25,32948.74,60325.99
2020-08-19 00:59:47.017287,30,5547084,8299212,18.49,27.66,15270.20,19495.98,34766.18
2020-08-19 01:00:17.038868,30,5403664,8768028,18.01,29.23,14562.36,24852.36,39414.72
2020-08-19 01:00:47.060834,30,7178128,10073348,23.93,33.58,25335.41,29485.05,54820.46
2020-08-19 01:01:17.082555,30,6143456,9450776,20.48,31.50,18502.14,28498.58,47000.72
2020-08-19 01:01:47.104334,30,4819012,7615296,16.06,25.38,11932.40,16811.88,28744.28
2020-08-19 01:02:17.125984,30,4481936,7940056,14.94,26.47,10589.13,20906.24,31495.37
2020-08-19 01:02:47.147670,30,4967568,7793868,16.56,25.98,12563.30,17669.97,30233.27
2020-08-19 01:03:17.169160,30,5369516,8443156,17.90,28.14,14397.61,21749.20,36146.80
2020-08-19 01:03:47.190965,30,3865388,7347940,12.88,24.49,8422.70,18197.81,26620.51
2020-08-19 01:04:17.227861,30,6735896,9741004,22.45,32.47,22211.76,28323.39,50535.15
2020-08-19 01:04:47.249709,30,7586840,10778660,25.29,35.93,28512.29,36283.95,64796.23
2020-08-19 01:05:17.271349,30,3550492,6621904,11.83,22.07,7446.01,14010.96,21456.97
2020-08-19 01:05:47.293265,30,11977144,14764732,39.92,49.22,84702.59,62816.92,147519.52
2020-08-19 01:06:17.315172,30,7851272,10890788,26.17,36.30,30724.18,35772.61,66496.79
2020-08-19 01:06:47.336879,30,3009756,6272036,10.03,20.91,5945.82,13317.42,19263.24
2020-08-19 01:07:17.358699,30,3278420,6341724,10.93,21.14,6664.97,13020.74,19685.71
2020-08-19 01:07:47.395936,30,11886148,14699300,39.62,49.00,83053.28,62698.47,145751.75
2020-08-19 01:08:17.417823,30,7673960,10888964,25.58,36.30,29227.11,37241.80,66468.91
2020-08-19 01:08:47.439576,30,8918400,11423644,29.73,38.08,41000.36,34026.74,75027.10
2020-08-19 01:09:17.461627,30,11852672,14487260,39.51,48.29,82452.32,57673.99,140126.31
2020-08-19 01:09:47.498918,30,11920116,14682136,39.73,48.94,83666.14,61624.44,145290.58
2020-08-19 01:10:17.520715,30,7663680,10577712,25.55,35.26,29142.07,32686.49,61828.56
2020-08-19 01:10:47.542309,30,2691076,5430980,8.97,18.10,5153.36,9541.84,14695.19
2020-08-19 01:11:17.564181,30,11896216,14909176,39.65,49.70,83234.59,68240.59,151475.17
2020-08-19 01:11:47.586130,30,11754820,14602852,39.18,48.68,80713.89,62459.63,143173.52
2020-08-19 01:12:17.623426,30,7696664,10789300,25.66,35.96,29415.64,35540.59,64956.23
2020-08-19 01:12:47.645491,30,10774656,13802776,35.92,46.01,64736.14,58279.46,123015.60
2020-08-19 01:13:17.667540,30,10543928,13439160,35.15,44.80,61339.61,53218.07,114557.68
2020-08-19 01:13:47.689436,30,11509904,14620696,38.37,48.74,76479.42,67168.61,143648.03
